Survey,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_9,Q14_10,Q15_1,Q15_3,Q17_1,Q17_2,Q18_1,Q19.1_1,Q19.1_2,Q19.2_1,Q19.2_2,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q13b_1,Q13b_2,Q13b_3,Q13b_4,Q13b_5,Q13b_6,Q13b_7,Q13b_8,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_8,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Continent,Q10,NAvsNonNA,Q5,Q5b,Q1,Q4,Q3_1,Q3_2,AgeCategory
1,4,3,3,5,4,4,2,2,5,3,2,4,1,2,4,2,4,4,3,5,5,4,1,1,1,2,2,2,2,2,5,3,4,4,4,3,5,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,34,2,9,8,1, 
1,5,4,2,4,1,5,3,2,4,1,1,1,1,2,2,2,2,5,4,4,5,5,2,1,2,1,2,2,1,2,5,5,2,5,5,4,5,5,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,1,9,5,1,1
1,4,4,3,3,2,3,3,2,4,3,2,1,1,2,1,3,1,4,5,3,3,3,1,2,1,1,2,2,2,2,5,5,3,4,3,5,5,5,2,2,2,2,2,2,2,2,1,2,4,2,2,168, ,1,8,1,1,1
1,5,5,5,4,5,5,3,3,4,4,4,4,2,3,1,4,4,4,2,5,5,5,2,2,2,1,2,2,2,2,4,5,2,4,3,4,5,4,2,2,2,2,2,2,2,1,2,2,2,1,1,2,26,2,9,5,1, 
1, , , , , ,5,5,5,5,4,1,1,1,3,3,4,2,5,5,5,3,4,1,2,2,2,1,2,1,2,5,5,5,4,5,5,5,4,2,2,2,2,2,2,2,2,2,2,4,2,2,161, ,1,8,5,1,1
1,5,4,4,4,4,4,3,3,5,4,2,2,2,2,2,2,2,3,2,4,4,4,2,2,2,2,2,2,2,2,4,5,4,5,3,5,5,4,2,2,2,2,2,2,2,2,1,2,4,2,2,50, ,1,4,5,1,3
1,4,4,4,4,3,2,3,3,2,2,4,4,1,1,1,2,2,5,5,5,5,5,2,2,2,2,2,2,2,1,5,4,1,5,2,4,5,5,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,9,16,2,1
1,4,4,4,5,4,5,5,4,4,4,5,4,4,5,4,5,5,5,4,3,5,5,2,2,2,1,2,2,2,2,5,5,5,4,4,5,5,4,2,2,2,2,2,2,2,2,2,1,2,3,1,2,29,1,8,5,2, 
1,5,5,4,4,3,2,2,4,4,3,2,2, ,3,3,4,4,5,5,4,4,4,2,2,2,2,2,1,2,2,4,1,1,4,3,3,4,4,2,2,2,2,2,2,2,2,2,2,4,2,2,181, ,3,9,7,2,3
1,4,4,4,5,2,5,2,2,5,4,5,3,3,3,2,4,2,4,4,4,4,4,2,2,2,1,2,2,2,1,5,5,2,4,4,5,5,5,2,2,2,2,1,2,1,1,2,1,2,2,1,2,11,3,9,7,2,3
1,3,3,3,3,3,3,3,3,4,2,5,2,2,4,2,5,2,4,4,4,5,5,1,2,2,1,2,2,1,2,5,5,2,4,4,4,5,4,2,2,2,2,2,2,2,2,1,2,2,2,1,2,31,2,10,10,2,1
1,4,4,3,5,3,4,4,4,3,1,4,3,4,1,1,4,4,5,5,5,5,3,1,2,2,2,2,2,2,2,5,5,5,1,4,5,5,4,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,9,8,2,2
1,4,3,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,2,2,1,2,2,2,2,2,5,5,5,5,5,5,5,5,2,2,2,2,2,1,2,2,2,2,6,1,2,54, ,3,5,8,2,1
1,4,4,4,5,2,5,2,2,5,3,1,1,1,1,1,1,1,3,2,4,4,4,2,2,2,1,1,2,2,2,4,4,2,3,4,4,4,5,2,2,2,2,2,2,2,2,1,2,2,2,1,2,56,1,4,1,2,3
1,4,2,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,5,4,1,5,4,2,2,2,2,2,2,2,2,5,5,5, ,4,5,5,5,2,2,2,2,2,2,2,1,2,2,6,2,2,26, ,1,9,8,2,1
1,4,3,2,3,3,4,2,2,4,4,2,2,2,3,3,3,3,4,3,5,5,4,2,2,2,2,2,2,2,2,4,4,4,3,2,5,3,4,2,2,2,2,1,1,1,1,1,1,2,3,1,2,6,1,6,4,2,1
1,4,2,1,1,1,2,2,2,5,2,2,1,2,2,1,2,1,5,5,5,4,4,1,2,2,1,1,2,2,2,5,5,5,2,4,5,5,5,2,2,2,2,2,2,2,2,1,2,2,2,1,2,54,4,9,8,2,3
1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,2,2,3,3,3,1,2,2,1,1,2,1,1,5,5,5,3,4,5,5,5,2,2,2,2,2,2,2,2,1,2,2,1,1,2,35,1,3,8,2,3
1,4,5,4,4,3,4,2,3,4,2,1,1,1,1,1,2,1,3,3,4,4,4,2,2,2,1,2,2,2,2,5,5,5,4,4,5,4,4,2,2,2,2,2,2,2,2,1,2,2,2,1,2,35,1,4,5,2,3
1,2,2,1,1,1,2,1,2,4,1,1,1,2,1,1,2,1,5,5,3,3,3,1,1,2,1,1,2,2,1,5,5,4,3,1,5,5,5,2,2,2,2,2,2,2,1,2,1,7,2,2,11, ,2,9,5,2,2
1,2,2,2,2,2,4,3,3,4,4,2,2,2,2,2,2,2,2,2,4,2,4,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,2,2,1,2,2,2,4,2,2,19, ,1,9,5,2,1
1,4,4,2,3,3,4,1,1,3,1,4,4,2,2,2,2,2,5,5,5,5,5,2,1,2,2,2,1,2,2,5,4,1,1,4,4,5,5,2,2,2,2,2,2,2,2,1,2,2,2,1,2,6,3,9,8,2,1
1,4,4,4,4,2,5,4,3,5,4,2,2,1,1,1,2,1,5,4,4,4,4,1,1,2,1,1,2,1,2,5,5,4,5,4,5,5,5,2,2,2,2,2,2,2,2,1,2,2,2,1,2,6,1,8,5,2,1
1,3,3,4,4,4,5,5,5,5,5,4,4,2,1,1,5,4,5,5,3,3,3,1,1,2,1,2,2,2,1,4,5,2,5,5,5,5,4,2,2,2,2,2,1,2,1,2,2,3,1,2,38, ,1,3,5,2,2
1,4,3,2,3,3,4,2,2,5,1,1,1,1,1,1,1,1,4,4,5,3,4,2,2,2,1,1,2,2,2,5,4,3,5,2,4,5,5,2,2,2,2,2,2,2,2,1,2,2,3,1,2,14,1,2,2,2,2
1,5,5,3,5,4,5,2,2,4,3,1,1,1,1,1,2,2,5,5,3,4,3,2,2,2,2,2,1,2,2,5,5,2,3,3,5,5,4,2,2,2,2,2,2,2,2,1,2,4,2,2,161, ,1,9,5,2,2
1,5,5,5,5,5,5,4,3,5,4,5,5,4,4,4,5,5,2,1,4,4,3,1,2,2,2,2,2,2,2,5,4,4,3,5,5,4,5,1,2,2,2,1,1,2,1,2,2,2,2,1,2,6,2,9,4,2,1
1,3,5,4,5,3,5,3,3,5,5,2,3,2, ,2,3,4,3,3,5,5,5,2,2,2,2,2,2,2,2,5,4,4,5,5,4,5,4,2,2,2,2,2,2,2,2,1,2,2,2,1,2,56,2,10,17,2,2
1,3,3,1,3,3,3,2,3,4,2,2,4,3,2,2,3,2,3,2,1,3,4,2,2,2,2,1,2,2,2,3, ,2,3,4,3,4,4,2,2,2,2,2,2,2,2,1,2,6,1,2,26, ,2,9,18,2,2
1,4,4,4,4,4,4,4,4,3,2,3,3,3,3,3,3,3,4,4,3,3,3,2,2,2,1,2,2,2,2,5,4,2,4,5,4,5,5,2,2,2,2,2,2,2,2,1,2,2,2,1,2,35,1,7,14,2,3
1,4,4,4,4,4,4,4,4,3,2,4,4,3,3,3,4,4,5,4,3,3,3,2,2,2,2,1,2,2,1,5,5,4,3,3,4,5,4,2,2,2,2,2,1,1,1,2,2,6,1,2,39, ,3,1,7,2,1
1,4,3,3,2,1,3,3,3,4,4,1,2,1,1,1,3,1,5,5,4,4,4,1,2,2,1,2,2,2,2,5,5,3,4,2,4,5,3,2,2,2,1,2,2,2,2,2,2,2,2,1,2,51,1,4,2,2,3
1,5,4,4,5,4,5,2,2,5,4,2,2,1,3,2,4,4,4,3,5,5,5,2,2,2,1,2,2,2,2,4,5,4,4,5,5,4,5,2,2,2,2,2,2,2,2,2,2,4,2,2,19, ,1,5,8,2,1
1,4,4,3,4,3,4,1,1,4,3,1,1,1,1,1,1,1,4,4,4,4,4,1,1,2,2,2,2,2,1,5,4,2,4,3,4,5,5,2,2,2,2,2,2,2,2,1,2,2,1,1,2,23,1,9,8,2,2
1,5,5,5,5,5,5,5,5,5,5,5,4,3,4,4,5,4,3,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,4,5,4,5,5,2,2,2,2,2,2,2,2,2,2,4,2,2,86, ,2,9,8,2,2
1,4,4,5,4,4,4,3,3,4,4,2,4,4,4,3,5,5,4,4,4,3,3,2,2,1,2,2,2,2,1,4,5,3,4,1,4,5,4,2,2,2,2,2,2,2,1,2,2,4,1,2,181, ,1,10,1,2,2
1,3,3,3,4,2,3,1,3,3,2,1,1,1,1,1,1,1,4,5,4,5,5,1,1,2,1,2,2,2,2,4,5,4,4,4,4,5,4,2,2,2,2,2,2,2,2,1,2,3,2,2,81, ,1,3,8,2,2
1,4,4,4,4,4,4,4,4,4,4,2,2,4,2,2,3,2,4,4,4,4,4,2,2,2,2,2,2,2,1,4,3,3,5,4,4,4,3,2,2,2,2,2,2,2,2,1,2,2,1,1,2,44,1,4,17,2,2
1,3,3, ,4,4,4,4,4,4,4,4,4,2,2,2,3,3,4,4,4,4,4,1,1,2,1,2,2,1,1,4,4,4,3,4,3,5,3,2,2,2,2,2,2,2,1,2,2,4,2,2,181, ,1,3,10,2,2
1,5,5,4,5,4,5,3,5,4,4,2,2,4,5,5,5,5,4,4,5,4,5,2,1,2,2,1,2,1,2,5,3,3,3,2,3,5,5,2,2,2,2,2,2,2,2,1,2,2,2,1,2,41,1,5,10,2,1
1,5,5,4,4,4,5,4,4,5,5,5,5,4,5,5,4,4,4,3,4,3,5,1,1,2,2,2,1,1,1,4,5,5,3,3,4,5,5,2,2,1,2,2,1,1,2,2,2,2,2,1,33, ,1,10,17,2,2
1,2,4,4,4,4,4,4,4,3,3,4,4,4,3,3,4,3,5,5,4,4,4,2,1,2,1,2,2,2,1,5,5,4,4,4,4,5,3,2,1,2,2,2,2,1,2,2,2,3,3,2,38, ,1,2,5,2,1
1,4,4,5,5,2,3,3,3,5,4,1,4,4,1,1,3,3,2,2,5,4,5,1,2,1,1,2,2,2,2,4,5,4,2,2,5,5,5,2,2,2,2,2,2,2,2,1,2,2,2,1,2,7,2,9,8,3,3
1,4,4,4,3,3,2,3,4,4,3,3,3,2,1,1,3,3,4,4,3,3,4,1,2,2,2,2,2,2,2,5,5,4,4,4,5,5,5,2,2,1,2,2,2,2,2,2,2,3,1,2,38, ,1,9,8,3,1
1,5,2,3, ,2,4,3,3,5,5,5,5,2,2,2,2,2,4,2,5,5,3,1,2,2,1,2,2,2,2,4,4,2,4,2,3,4,4,2,2,2,2,2,2,2,1,2,2,2,1,1,2,7,1,4,8,3,3
1,5,5,5,4,2,5,4,4,5,4,2,1,3,2,1,2,1,3,3,4,1,3,1,1,2,1,1,2,2,2,5,4,4,3,4,5,5,4,2,2,2,2,2,2,2,2,1,2,2,2,1,2,32,1,10,17,3,3
1,4,4,4,4,2,3,4,5,4,2,3,3,2,4,3,4,4,4,4,3,4,4,2,2,2,2,1,2,2,1,4,5,5,4,4,5,4,4,2,2,2,2,2,2,2,2,1,2,3,2,2,38, ,3,5,5,3,1
1,4,4,4,4,2,4,1,1,4,2,1,1,1,1,1,1,1,5,4,4,4,5,1,1,2,1,1,2,2,2,5,5,5,4,4,5,4,5,2,2,2,2,2,2,2,2,1,2,2,2,1,2,35,1,3,5,3,2
1,3,3,3,3,3,3,3,3,2,1,3,3,2,2,2,2,2,5,5,5,5,3,2,2,2,1,2,2,2,1,5,2,2,5,2,2,5,5,2,2,2,2,2,2,2,2,1,2,6,1,2,39, ,1,4,14,3,1
1,5,4,4,4,3,4,4,4,5,3,5,4,3,4,4,5,4,4,5,4,4,3,2,2,2,1,1,2,2,2,4,4,4,4,4,5,5,4,2,2,2,2,2,2,2,1,2,2,2,2,1,2,4,1,8,1,3,1
1,4,2,1,2,1,2,1,1,4,2,3,3,2,2,2,3,3,3,4,4,4,4,1,2,2,1,2,2,2,2,5,5,5,3,3,5,3,3,2,2,2,2,2,2,2,1,2,2,2,2,1,2,7,1,10,2,3,2
1,5,5,5,5,5,5,4,4,1,1,1,1,1,1,1,1,1,5,1,3,3,3,1,2,2,1,1,2,2,2,5,3, , ,5,5,5,5,2,2,2,2,1,2,2,2,2,2,2,2,1,2,28,1,3,8,3,2
1,4,2,4,5,4,4,5,5,4,3,5,5,4,4,4,4,4,5,5,4,5,5,2,2,2,2,1,2,2,1,5,5,5,5,4,5,5,5,2,2,2,2,2,2,2,1,2,2,3,2,2,38, ,1,5,8,3,1
1,5,5,5,4,4,5,4,5,4,5, , , , , , , ,5,5,5,5,5,2,1,2,2,2,2,2,2,5,5,4,4,4,5,5,5,2,2,2,2,2,2,1,2,2,2,6, ,2,26, , ,3,14,3,1
1,5,5,5,5,5,5,5,5,4,4,5,5,5,4,4,5,5,4,1,1,1,1,2,2,2,1,2,1,2,2,5,5,5,4,5,4,5,5,2,2,2,2,2,2,2,2,1,2,2,1,1,42, ,5,9,6,3,3
1,2,4,3,4,4,3,2,4,5,2,2,2,3,2,2,4,4,5,4,4,5,4,1,1,2,2,2,2,2,2,5,5,4,2,4,5,4,5,2,2,2,2,2,2,2,2,1,2,2,2,1,53, ,4,5,5,3,1
1,5,4,3,3,4,5,3,3,5,3,1,3,2,1,1,3,2,4,4,5,5,5,2,2,1,1,1,2,2,1,5,4,3,4,3,4,2,3,2,2,2,2,2,2,1,2,2,2,3,2,2,38, ,1,2,9,3,1
1,5,5,5,4,3,4, ,4,5,4,3,2,4,4,2,3,2,5,4,3,4,4,2,2,2,2,2,2,1,2,4,5,5,3,4,5,5,4,2,2,2,2,2,2,1,1,2,2,2,2,1,33, ,1,9,8,3,2
1,4,4,4,3,3,3,3,3,3,2,4,4,2,1,1,3,3,5,5,4,4,4,1,2,2,1,2,2,2,2,5,4,3,3, ,4,3,5,2,2,2,2,2,2,2,2,1,2,3,2,2,38, ,1,3,8,3,1
1,3,3,3,3,2,2,3,3,5, ,2,2,2,1,1,2,2,4,3,4,4,4,1,2,2,1,2,2,2,2,5,5,3,3,5,5,4,5,2,2,2,2,2,2,2,2,2,1,7,2,2,123, ,2,10,8,3,1
1,5,5,1,4,1,4,1,4,5,5,2,3,2,2,3,4,3,5,3,4,2,4,1,2,2,2,2,2,1,1,5,5,4,4,2,3,5,5,2,2,2,2,2,2,2,1,2,2,3,2,2,80, ,1,9,18,3,1
1,5,4, ,5,5,5,5,5,5,5, , , , , , , , , , , , ,2,2,2,2,2,2,2,2, , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2, ,1,2,54,1,5,10,3,1
1,2,3,3,2,2,4,3,3,4,3,1,1,1,1,1,1,1,2,2,4,4,4,2,2,2,1,2,1,2,2,5,4,2,4,4,4,5,5,2,2,2,2,1,2,2,2,2,2,2,2,1,2,56,1,3,5,3, 
1,5, ,4,4,4,5,2,3,3,4,1,1,1,4,1,1,1,5,5,5,5,5,1,2,2,2,1,2,2,2,5,5,5,5,3,5,4,4,2,2,2,2,2,2,2,2,1,2,3,1,2,121, ,1,7,16,3,1
1,4,4,4,4,3,4,3,4,4,3,3,2,2,2,2,2,2,4,3,5,5,5,1,2,2,1,2,2,2,2,5,5,5,4,4,5,5,5,2,2,2,2,2,2,2,2,1,2,2,2,1,33, ,1,3,20,3,3
1,4,5,5,5,5,4,4,2,5,5,5,4,4,5,3,4,3,2,2,2,2,5,2,2,2,2,2,2,2,2,5,5,5,1,4,5,5,3,1,2,2,2,2,2,2,1,2,2,2,1,1,2,7,4,9,1,3,3
1,4,4,2,4,2,4,2,2,4,2,2,4,2,3,3,3,4,4,3,2,4,4,1,1,2,1,2,2,2,1,5,5,3,5,3,5,5,5,2,2,2,2,2,1,1,1,2,2,4,2,2,68, ,2,10,8,3,2
1,5,2,4,4,4,4,5,2, ,4,5,5,4,4,4,4,4,5,5,4,5,2,1,2,2,1,2,2,2,2,5,4,4,4,5,5,5,5,2,2,2,2,2,1,2,2,2,2,5,1,2,55, ,2,9,1,3,2
1,2,4, ,1,5,2,1,2,4,1,2,2,1,1,2,1,2,4,2,5,4,4,1,1,2,1,1,2,2,1,5,4, ,4,4,2,5,4,2,2,2,2,2,2,2,2,1,2,2,3,1,42, ,1,5,5,3,1
1,3,3,4,4,4,4,4,4,4,3,4,4,3,3,4,3,3,4,5,3,3,4,2,1,2,1,1,2,2,2,5,5,5,5,4,5,5,3,2,2,2,2,2,2,1,2,2,2, ,1, , , ,1,9,8,3, 
1,3,3,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,5,5,4,5,3,1,2,2,1,2,2,2,1,5,4,4,4,4,4,4,4,2,2,2,2,2,2,2,1,2,2,3,3,2,38, ,1,6,8,3,1
1, , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2, , , , , , , , ,2,2,2,2,2,2,2,2,2,2,3,2,2,80, ,1,4,1,3, 
1,5,4,4,5,3,3,2,3,5,3,2,1,1,5,1,1,1,4,3,5,4,2,1,2,2,1,2,2,2,2,4,5,4,5,3,5,5,5,2,2,2,2,2,2,2,1,2,2,4,2,2,86, ,1,9,5,3,2
1,3,3,4,5,5,5,2,5,3,2,5,5,4,3,3,5,5,5,5,5,5,5,2,2,2,2,1,2,2,2,5,5,5,5,5,5,4,4,2,2,2,2,2,2,1,2,2,2,3,2,2,176,1,1,5,10,3,1
