"","Estimate","p.value"
"16_12_09=16_12_09_2",-0.416274029038451,0.000264616036248185
"09_31_20_3=09_31_20_3_4",-0.304912387502745,9.01260259700357e-05
"10_32_19_8=10_32_19_8_3",-0.176479677772215,7.30947397752522e-05
"07_17_14_1=07_17_14_1_3",-0.0603081923354215,1.27785731895158e-05
"11_19_15_9=11_19_15_9.NA",-0.474858037381902,5.55463768360011e-06
"10_32_19_5=10_32_19_5_5",-0.74925483755104,5.07962249092094e-06
"10_32_19_2=10_32_19_2_3",-0.0346946948682942,3.41305260696091e-06
"09_31_20_2=09_31_20_2_1",-1.01111622435667,1.05138424950715e-06
"09_31_20_5=09_31_20_5_3",-0.382585941670009,4.07741251774706e-07
"08_22_18=08_22_18_4",-0.709161035082552,3.1003625484919e-07
"10_32_19_4=10_32_19_4_2",-0.615929901663175,1.40969684460144e-07
"09_31_20_3=09_31_20_3_3",-0.458524030758011,8.19460136409728e-08
"07_17_14_1=07_17_14_1_5",-1.13685325107951,5.98542434064156e-09
"11_19_15_5=11_19_15_5_2",-0.173642499006474,5.40887072048297e-09
"09_31_20_4=09_31_20_4_3",-0.18658478112431,5.49862857095309e-10
"11_19_15_2=11_19_15_2_1",-0.666460717294983,5.0170990283622e-10
"10_32_19_1=10_32_19_1_2",-1.66367920575361,2.02106781394104e-11
"11_19_15_3=11_19_15_3_1",-0.620823161932319,1.33081879378085e-11
"10_32_19_8=10_32_19_8_2",-0.902592455174633,6.7436832438566e-12
"10_32_19_6=10_32_19_6_3",-0.410444722376416,4.58481980733164e-12
"11_19_15_1=11_19_15_1.NA",-0.56331631404137,4.01557533716602e-12
"10_32_19_3=10_32_19_3_4",-0.820655174681135,2.8515467691702e-13
"08_20_16_1=08_20_16_1_2",-0.00592444978077501,1.89922479439495e-13
"10_32_19_1=10_32_19_1_3",-0.195497116694297,2.26408684673057e-15
"09_31_20_5=09_31_20_5_2",-1.24662524957018,1.76611941543221e-15
"09_31_20_3=09_31_20_3_2",-1.39900440023995,1.30759864635954e-15
"06_16_13_6=06_16_13_6_1",-0.452998777570293,3.32452353599594e-16
"09_31_20_2=09_31_20_2_2",-1.0390747872886,2.37154095795085e-16
"10_32_19_3=10_32_19_3_2",-0.838259264896101,8.04668247135548e-18
"09_31_20_4=09_31_20_4_2",-1.21352385781702,2.44122244891203e-18
"09_31_20_1=09_31_20_1_2",-1.20746387808483,3.83255890603361e-19
"10_32_19_6=10_32_19_6_2",-1.82862609735853,1.21682927864032e-19
"10_32_19_2=10_32_19_2_2",-1.24412229801865,3.26442774506129e-20
"08_20_16_1=08_20_16_1_5",-1.55282862401531,6.90734935295835e-26
"08_20_16_1=08_20_16_1_4",-1.13287040497771,1.01789922632593e-29
"08_20_16_2=08_20_16_2_5",-1.19491780038781,4.56237968261963e-31
"10_32_19_5=10_32_19_5_4",-1.03278112181403,6.61488810129628e-32
"08_20_16_2=08_20_16_2_4",-0.832448501656411,6.07260751815467e-34
"07_17_14_3=07_17_14_3_5",-1.62740704694024,9.19990462202953e-35
"07_17_14_1=07_17_14_1_4",-1.06910459448896,1.69563185562993e-40
"07_17_14_3=07_17_14_3_4",-1.25012273116791,8.36511682031654e-45
"08_22_18=08_22_18_5",-1.21964934397954,2.13464090043129e-51
"07_17_14_2=07_17_14_2_5",-1.52295672396288,1.55033234654e-52
"06_16_13_5=06_16_13_5_1",-0.901776031505679,4.10810232523821e-68
"07_17_14_2=07_17_14_2_4",-0.944344577003679,9.98175412564466e-72
"06_16_13_1=06_16_13_1_1",-0.79889664242474,1.4721277252765e-72
"06_16_13_4=06_16_13_4_1",-0.749841358062351,2.20632496947577e-76
"06_16_13_2=06_16_13_2_1",-0.969869116597504,2.95078554415015e-79
