"","coord.dim1","coord.dim2","load.dim1","load.dim2","rotLoad.dim1","rotLoad.dim2"
"16_12_09_1",-0.907814290031501,0.143408922775649,-0.394726532073792,0.0753563619588032,-0.228689238242135,0.23761632360116
"16_12_09_2",0.572050958528668,-0.176188897685714,0.248733351643621,-0.0925810897268779,0.110627967357671,-0.27530471911208
"16_12_09_3",1.00522289635903,0.0620312564252502,0.43708074679812,0.0325952508495812,0.359968216035805,0.0958277893280246
"16_12_09.NA",1.55285912162052,0.93108924389576,0.675198333631818,0.489254759891908,0.246617591847107,0.265142224389948
"06_16_13_1_1",0.0687804075160512,-1.14291365153755,0.0299063938864533,-0.600561060957535,0.101620135582584,-0.645976400327136
"06_16_13_1_2",-0.0273746021913888,0.454879633311943,-0.0119027447668086,0.239023302261099,-0.0404448139618688,0.2570986073302
"06_16_13_2_1",0.0695312806921739,-1.58268579732792,0.0302328808872559,-0.831645908093743,0.132351152243223,-0.894533730793513
"06_16_13_2_2",-0.015686191903671,0.357052435867082,-0.00682050965662283,0.187618539172521,-0.0298582961811132,0.201805973165573
"06_16_13_3_1",0.281963198892011,-0.0485115566733068,0.122600356585282,-0.0254911225403852,-0.128819665949637,-0.176108628809438
"06_16_13_3_2",-0.0528481420346853,0.00909248315903678,-0.0229788890315558,0.0047777811782925,0.0241445693257815,0.0330079026817209
"06_16_13_4_1",0.0601756720297355,-0.878211910062567,0.0261649707394264,-0.461469574489015,0.0189009916334368,-0.505172919101758
"06_16_13_4_2",-0.0425835985291875,0.621470806062196,-0.0185157651242365,0.326561123966578,-0.0133753760011869,0.357488002198234
"06_16_13_5_1",0.164097913026012,-1.47070769086759,0.0713513775235424,-0.772805338353969,0.0723851654663353,-0.911891453863429
"06_16_13_5_2",-0.0371379487374666,0.332844372143715,-0.0161479433342757,0.174898050259055,-0.0163819058686973,0.206375434295406
"06_16_13_6_1",0.810497532172982,-0.756078074151637,0.352412253962103,-0.397292524915054,0.221461450444167,-0.482928720606871
"06_16_13_6_2",-0.160710082093729,0.149919480988924,-0.0698783154999142,0.0787774320831562,-0.0439126418880726,0.0957578663146182
"06_16_13_7_1",0.580044281797616,-0.110528437880039,0.252208926778693,-0.0580788197165342,0.312200977760816,0.0165089056230206
"06_16_13_7_2",-0.140117268782373,0.026699587125548,-0.0609243588666116,0.0140296971251292,-0.0754162219812995,-0.00398794167803222
"07_17_14_1_1",-0.294792879708961,1.11170042405783,-0.128178827283636,0.584159604044398,-0.0412000034293586,0.505681074524386
"07_17_14_1_2",0.200522101890871,-0.305972362358648,0.0871889710843664,-0.160777751070336,0.0425596101024884,-0.0344193723608158
"07_17_14_1_3",0.57976552352091,-0.514577191489626,0.25208771995362,-0.27039227648547,-0.0153635150629908,-0.372154851182139
"07_17_14_1_4",-0.135830078297037,-1.52337359364318,-0.0590602465132386,-0.800479424147457,0.0133659770051153,-0.888937061705809
"07_17_14_1_5",-1.13866109028283,-1.59112225023371,-0.495100978592336,-0.836078968369996,-0.106503865290852,-0.988180892440481
"07_17_14_1.NA",-0.268951090000204,0.0977309787421496,-0.116942564375763,0.0513542035330877,-0.0485225351486652,0.260986607459755
"07_17_14_2_1",-0.653751817787103,1.89094259571236,-0.284257684314582,0.993624050218552,-0.0722507536481405,0.923615901080896
