domain,domain_code
Agriculture,1
Atmospheric science,2
Biology,3
Business,4
Computer science,5
Ecology,6
Education,7
Engineering,8
Environmental science,9
Forestry,
Geography,26
Geology,10
Hydrology,11
Information science,12
Law,13
Mathematics,23
Medicine,14
Physical sciences,15
Psychology,16
Social sciences,17
Other,18
Oceanography,19
