Survey,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_9,Q14_10,Q15_1,Q15_3,Q17_1,Q17_2,Q18_1,Q19.1_1,Q19.1_2,Q19.2_1,Q19.2_2,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q13b_1,Q13b_2,Q13b_3,Q13b_4,Q13b_5,Q13b_6,Q13b_7,Q13b_8,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_8,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Continent,Q10,NAvsNonNA,Q5,Q5b,Q1,Q4,Q3_1,Q3_2,AgeCategory,,counter,
1,2,2,1,1,1,2,1,2,4,1,1,1,2,1,1,2,1,5,5,3,3,3,1,1,2,1,1,2,2,1,5,5,4,3,1,5,5,5,2,2,2,2,2,2,2,1,2,1,7,2,2,11,NA,2,9,5,2,2,,59,"1,  7, 2, 2,"
1,2,2,2,2,2,4,3,3,4,4,2,2,2,2,2,2,2,2,2,4,2,4,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,2,2,1,2,2,2,4,2,2,19,NA,1,9,5,2,1,,60,"1,  4, 2, 1,"
1,4,4,2,3,3,4,1,1,3,1,4,4,2,2,2,2,2,5,5,5,5,5,2,1,2,2,2,1,2,2,5,4,1,1,4,4,5,5,2,2,2,2,2,2,2,2,1,2,2,2,1,2,6,3,9,8,2,1,,61,"1,  2, 1, 1,"
1,4,4,4,4,2,5,4,3,5,4,2,2,1,1,1,2,1,5,4,4,4,4,1,1,2,1,1,2,1,2,5,5,4,5,4,5,5,5,2,2,2,2,2,2,2,2,1,2,2,2,1,2,6,1,8,5,2,1,,62,"1,  2, 1, 1,"
1,3,3,4,4,4,5,5,5,5,5,4,4,2,1,1,5,4,5,5,3,3,3,1,1,2,1,2,2,2,1,4,5,2,5,5,5,5,4,2,2,2,2,2,1,2,1,2,2,3,1,2,38,NA,1,3,5,2,2,,63,"1,  3, 2, 2,"
1,4,3,2,3,3,4,2,2,5,1,1,1,1,1,1,1,1,4,4,5,3,4,2,2,2,1,1,2,2,2,5,4,3,5,2,4,5,5,2,2,2,2,2,2,2,2,1,2,2,3,1,2,14,1,2,2,2,2,,64,"1,  2, 1, 2,"
1,5,5,3,5,4,5,2,2,4,3,1,1,1,1,1,2,2,5,5,3,4,3,2,2,2,2,2,1,2,2,5,5,2,3,3,5,5,4,2,2,2,2,2,2,2,2,1,2,4,2,2,161,NA,1,9,5,2,2,,65,"1,  4, 2, 2,"
1,5,5,5,5,5,5,4,3,5,4,5,5,4,4,4,5,5,2,1,4,4,3,1,2,2,2,2,2,2,2,5,4,4,3,5,5,4,5,1,2,2,2,1,1,2,1,2,2,2,2,1,2,6,2,9,4,2,1,,66,"1,  2, 1, 1,"
1,3,5,4,5,3,5,3,3,5,5,2,3,2,NA,2,3,4,3,3,5,5,5,2,2,2,2,2,2,2,2,5,4,4,5,5,4,5,4,2,2,2,2,2,2,2,2,1,2,2,2,1,2,56,2,10,17,2,2,,67,"1,  2, 1, 2,"
1,3,3,1,3,3,3,2,3,4,2,2,4,3,2,2,3,2,3,2,1,3,4,2,2,2,2,1,2,2,2,3,NA,2,3,4,3,4,4,2,2,2,2,2,2,2,2,1,2,6,1,2,26,NA,2,9,18,2,2,,68,"1,  6, 2, 2,"
1,4,4,4,4,4,4,4,4,3,2,3,3,3,3,3,3,3,4,4,3,3,3,2,2,2,1,2,2,2,2,5,4,2,4,5,4,5,5,2,2,2,2,2,2,2,2,1,2,2,2,1,2,35,1,7,14,2,3,,69,"1,  2, 1, 3,"
1,4,4,4,4,4,4,4,4,3,2,4,4,3,3,3,4,4,5,4,3,3,3,2,2,2,2,1,2,2,1,5,5,4,3,3,4,5,4,2,2,2,2,2,1,1,1,2,2,6,1,2,39,NA,3,1,7,2,1,,70,"1,  6, 2, 1,"
1,4,3,3,2,1,3,3,3,4,4,1,2,1,1,1,3,1,5,5,4,4,4,1,2,2,1,2,2,2,2,5,5,3,4,2,4,5,3,2,2,2,1,2,2,2,2,2,2,2,2,1,2,51,1,4,2,2,3,,71,"1,  2, 1, 3,"
1,5,4,4,5,4,5,2,2,5,4,2,2,1,3,2,4,4,4,3,5,5,5,2,2,2,1,2,2,2,2,4,5,4,4,5,5,4,5,2,2,2,2,2,2,2,2,2,2,4,2,2,19,NA,1,5,8,2,1,,72,"1,  4, 2, 1,"
1,4,4,3,4,3,4,1,1,4,3,1,1,1,1,1,1,1,4,4,4,4,4,1,1,2,2,2,2,2,1,5,4,2,4,3,4,5,5,2,2,2,2,2,2,2,2,1,2,2,1,1,2,23,1,9,8,2,2,,73,"1,  2, 1, 2,"
1,5,5,5,5,5,5,5,5,5,5,5,4,3,4,4,5,4,3,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,4,5,4,5,5,2,2,2,2,2,2,2,2,2,2,4,2,2,86,NA,2,9,8,2,2,,74,"1,  4, 2, 2,"
1,4,4,5,4,4,4,3,3,4,4,2,4,4,4,3,5,5,4,4,4,3,3,2,2,1,2,2,2,2,1,4,5,3,4,1,4,5,4,2,2,2,2,2,2,2,1,2,2,4,1,2,181,NA,1,10,1,2,2,,75,"1,  4, 2, 2,"
1,3,3,3,4,2,3,1,3,3,2,1,1,1,1,1,1,1,4,5,4,5,5,1,1,2,1,2,2,2,2,4,5,4,4,4,4,5,4,2,2,2,2,2,2,2,2,1,2,3,2,2,81,NA,1,3,8,2,2,,76,"1,  3, 2, 2,"
1,4,4,4,4,4,4,4,4,4,4,2,2,4,2,2,3,2,4,4,4,4,4,2,2,2,2,2,2,2,1,4,3,3,5,4,4,4,3,2,2,2,2,2,2,2,2,1,2,2,1,1,2,44,1,4,17,2,2,,77,"1,  2, 1, 2,"
1,3,3,NA,4,4,4,4,4,4,4,4,4,2,2,2,3,3,4,4,4,4,4,1,1,2,1,2,2,1,1,4,4,4,3,4,3,5,3,2,2,2,2,2,2,2,1,2,2,4,2,2,181,NA,1,3,10,2,2,,78,"1,  4, 2, 2,"
1,5,5,4,5,4,5,3,5,4,4,2,2,4,5,5,5,5,4,4,5,4,5,2,1,2,2,1,2,1,2,5,3,3,3,2,3,5,5,2,2,2,2,2,2,2,2,1,2,2,2,1,2,41,1,5,10,2,1,,79,"1,  2, 1, 1,"
1,5,5,4,4,4,5,4,4,5,5,5,5,4,5,5,4,4,4,3,4,3,5,1,1,2,2,2,1,1,1,4,5,5,3,3,4,5,5,2,2,1,2,2,1,1,2,2,2,2,2,1,33,NA,1,10,17,2,2,,80,"1,  2, 1, 2,"
1,2,4,4,4,4,4,4,4,3,3,4,4,4,3,3,4,3,5,5,4,4,4,2,1,2,1,2,2,2,1,5,5,4,4,4,4,5,3,2,1,2,2,2,2,1,2,2,2,3,3,2,38,NA,1,2,5,2,1,,81,"1,  3, 2, 1,"
1,4,4,5,5,2,3,3,3,5,4,1,4,4,1,1,3,3,2,2,5,4,5,1,2,1,1,2,2,2,2,4,5,4,2,2,5,5,5,2,2,2,2,2,2,2,2,1,2,2,2,1,2,7,2,9,8,3,3,,82,"1,  2, 1, 3,"
1,4,4,4,3,3,2,3,4,4,3,3,3,2,1,1,3,3,4,4,3,3,4,1,2,2,2,2,2,2,2,5,5,4,4,4,5,5,5,2,2,1,2,2,2,2,2,2,2,3,1,2,38,NA,1,9,8,3,1,,83,"1,  3, 2, 1,"
1,5,2,3,NA,2,4,3,3,5,5,5,5,2,2,2,2,2,4,2,5,5,3,1,2,2,1,2,2,2,2,4,4,2,4,2,3,4,4,2,2,2,2,2,2,2,1,2,2,2,1,1,2,7,1,4,8,3,3,,84,"1,  2, 1, 3,"
1,5,5,5,4,2,5,4,4,5,4,2,1,3,2,1,2,1,3,3,4,1,3,1,1,2,1,1,2,2,2,5,4,4,3,4,5,5,4,2,2,2,2,2,2,2,2,1,2,2,2,1,2,32,1,10,17,3,3,,85,"1,  2, 1, 3,"
1,4,4,4,4,2,3,4,5,4,2,3,3,2,4,3,4,4,4,4,3,4,4,2,2,2,2,1,2,2,1,4,5,5,4,4,5,4,4,2,2,2,2,2,2,2,2,1,2,3,2,2,38,NA,3,5,5,3,1,,86,"1,  3, 2, 1,"
1,4,4,4,4,2,4,1,1,4,2,1,1,1,1,1,1,1,5,4,4,4,5,1,1,2,1,1,2,2,2,5,5,5,4,4,5,4,5,2,2,2,2,2,2,2,2,1,2,2,2,1,2,35,1,3,5,3,2,,87,"1,  2, 1, 2,"
1,3,3,3,3,3,3,3,3,2,1,3,3,2,2,2,2,2,5,5,5,5,3,2,2,2,1,2,2,2,1,5,2,2,5,2,2,5,5,2,2,2,2,2,2,2,2,1,2,6,1,2,39,NA,1,4,14,3,1,,88,"1,  6, 2, 1,"
1,5,4,4,4,3,4,4,4,5,3,5,4,3,4,4,5,4,4,5,4,4,3,2,2,2,1,1,2,2,2,4,4,4,4,4,5,5,4,2,2,2,2,2,2,2,1,2,2,2,2,1,2,4,1,8,1,3,1,,89,"1,  2, 1, 1,"
1,4,2,1,2,1,2,1,1,4,2,3,3,2,2,2,3,3,3,4,4,4,4,1,2,2,1,2,2,2,2,5,5,5,3,3,5,3,3,2,2,2,2,2,2,2,1,2,2,2,2,1,2,7,1,10,2,3,2,,90,"1,  2, 1, 2,"
1,5,5,5,5,5,5,4,4,1,1,1,1,1,1,1,1,1,5,1,3,3,3,1,2,2,1,1,2,2,2,5,3,NA,NA,5,5,5,5,2,2,2,2,1,2,2,2,2,2,2,2,1,2,28,1,3,8,3,2,,91,"1,  2, 1, 2,"
1,4,2,4,5,4,4,5,5,4,3,5,5,4,4,4,4,4,5,5,4,5,5,2,2,2,2,1,2,2,1,5,5,5,5,4,5,5,5,2,2,2,2,2,2,2,1,2,2,3,2,2,38,NA,1,5,8,3,1,,92,"1,  3, 2, 1,"
