"","16_12_09","06_16_13_1","06_16_13_2","06_16_13_3","06_16_13_4","06_16_13_5","06_16_13_6","06_16_13_7","07_17_14_1","07_17_14_2","07_17_14_3","08_20_16_1","08_20_16_2","08_22_18","09_31_20_1","09_31_20_2","09_31_20_3","09_31_20_4","09_31_20_5","10_32_19_1","10_32_19_2","10_32_19_3","10_32_19_4","10_32_19_5","10_32_19_6","10_32_19_7","10_32_19_8","11_19_15_1","11_19_15_2","11_19_15_3","11_19_15_4","11_19_15_5","11_19_15_6","11_19_15_7","11_19_15_8","11_19_15_9","11_19_15_10","11_19_15_11","work_sector","domain","funding_agency","region","survey_label","dim_1","dim_2","contrib"
"1022","2","2","2","2","1","2","2","2","2","2","4","1","3","4","3","4","2","2","2","2","2","4","2","3","2","1","1","1","1","1","1","1","1","1","1","2","1","1","Academic","Social science","Federal/national government","USACanada","S1",2.89128240516722,-1.33149963000336,0.0364527303882147
"1023","2","2","2","2","1","2","1","1","4","5","5","3","3","5","2","2","2","1","1","1","3","4","2","4","2","1","3","1","1","1","1","2","1","1","2","2","1","1","Academic","Physical science","Federal/national government","AsiaSEAsia","S1",1.28473025794966,-1.66980287056357,0.015969101995196
"1024","1","2","2","2","2","2","1","1","2","2","2","2","2","2","3","4","3","2","2","3","4","5","4","3","2","1","2","1","1","1","1","1","2","1","1","1","1","2","Academic","Physical science","Corporation","AsiaSEAsia","S1",2.61397728729472,0.20367544364634,0.0247314651252
"1025","2","1","2","2","2","2","2","1","2","3","2","4","4","4","1","1","1","1","1","2","1","2","1","4","1","2","1","2","1","1","1","2","1","1","1","2","1","2","Government","Natural science","Federal/national government","AsiaSEAsia","S1",-1.23716123157437,-0.392346397373429,0.00606023491925568
"1026","1","2","2","2","2","2","2","2","2","2","2","1","1","2","2","2","2","2","2","1","1","1","5","2","2","1","2","1","1","1","1","1","1","1","1","2","1","1","Commercial","Physical science","Federal/national government","USACanada","S1",0.19132259174047,1.3465072252063,0.0066545015890998
"1027","1","1","2","2","2","1","2","1","3","4","4","3","3","3","1","1","2","4","4","5","1","1","2","2","2","1","1","1","1","1","1","2","1","1","1","2","2","1","Academic","Natural science","Federal/national government","AfricaMENA","S1",0.361503234687634,1.19662349632205,0.00562164240091522
"1028","3","2","2","2","2","2","2","2","3","4","5","1","1","3","1","4","3","3","3","1","1","1","5","3","1","1","1","2","1","1","1","1","1","1","1","2","2","1","Other","Natural science","Corporation","AsiaSEAsia","S1",-1.14568467795876,2.05243874594052,0.0198773055743259
"1029","2","2","2","1","2","2","2","2","1","1","1","1","1","1","2","2","5","5","3","2","2","5","3","3","2","2","2","1","1","1","1","1","1","1","1","1","1","1","Academic","Physical science","Corporation","AsiaSEAsia","S1",2.72883740194031,4.74742047873575,0.107873586576805
"1030","2","2","2","2","1","2","2","2","3","4","4","3","4","4","3","4","1","1","1","2","1","5","4","2","2","1","1","2","1","1","2","2","2","1","1","2","2","2","Academic","Social science","Federal/national government","EuroRussia","S1",-1.72131297055152,-1.18697095318474,0.0157282218408273
"1031","1","2","2","2","1","2","2","2","1","2","3","3","2","4","1","2","3","2","2","2","2","2","1","4","2","1","1","1","1","1","1","1","2","1","1","1","1","1","Academic","Social science","Federal/national government","EuroRussia","S1",1.69156940643242,-0.266510782995789,0.0105498410481484
"1032","3","1","2","2","1","2","2","2","2","3","3","5","5","4","2","4","2","3","2","2","2","4","2","3","2","1","3","2","1","1","1","2","1","1","1","1","1","1","Academic","Social science","Federal/national government","EuroRussia","S1",2.8245190393059,-2.35952686390569,0.0487310012714285
"1033","1","2","2","2","2","2","2","2","2","2","2","1","1","3","2","2","3","3","5","1","1","2","1","2","1","1","3","2","1","1","2","1","2","2","1","1","2","2","Academic","Physical science","Federal/national government","EuroRussia","S1",-1.77506241634626,2.48742635732637,0.0335952386225972
"1034","2","2","2","2","2","2","2","2","1","1","2","5","5","5","2","2","2","2","2","2","5","5","5","3","3","1","3","1","2","1","1","1","2","2","2","1","1","1","Academic","Natural science","Federal/national government","EuroRussia","S1",1.55986997518748,1.80107952026954,0.0204240875810649
"1036","1","2","2","2","2","2","2","1","1","4","4","3","5","5","1","1","1","1","1","2","2","4","1","3","1","1","1","1","1","1","1","2","1","1","2","2","1","2","Academic","Information science","Federal/national government","EuroRussia","S1",-0.55751669523181,0.175634431956621,0.00122921346626023
"1037","2","2","2","2","1","2","1","1","2","2","3","3","3","4","2","4","3","3","3","2","4","4","2","4","3","2","3","2","1","1","1","1","2","2","2","2","1","2","Academic","Social science","Federal/national government","EuroRussia","S1",1.47323403984305,-1.80627917026,0.0195461961655173
"1038","2","2","2","2","2","2","1","2","1","3","3","3","3","2","2","5","4","4","4","2","2","4","3","2","2","1","2","2","1","1","1","1","1","1","1","1","2","1","Academic","Physical science","Federal/national government","EuroRussia","S1",2.48019104154837,0.558108089634215,0.0232509336493746
"1039","1","2","2","2","2","1","2","1","1","2","1","5","5","5","4","4","2","4","4","4","5","5","5","2","5","5","5","1","1","1","2","1","2","1","1","1","1","1","Academic","Natural science","Federal/national government","USACanada","S1",2.8776880779942,7.1851427907565,0.215525040787547
"1040","2","2","1","2","2","2","2","2","3","3","3","5","5","5","3","2","4","3","3","1","1","3","2","1","2","1","1","1","1","1","1","2","2","1","2","2","1","2","Academic","Other","Federal/national government","EuroRussia","S1",-0.225353895624404,-0.571639705756339,0.00135831116804663
"1041","2","2","2","2","2","2","2","2","1","1","1","1","1","3","1","1","3","3","2","1","2","4","2","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","Academic","Social science","Federal/national government","EuroRussia","S1",1.74230259907039,3.23905149497278,0.0486655174485536
"1042","1","2","2","2","2","2","2","2","1","1","1","1","1","1","1","3","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","2","2","2","Academic","Natural science","International institution","EuroRussia","S1",-2.46846349319437,4.77577846241694,0.103976686403776
"1043","2","2","2","2","1","2","2","1","2","2","4","2","2","4","4","4","2","2","2","3","2","5","3","2","2","1","2","1","1","1","1","1","1","2","1","1","1","1","Academic","Social science","Combined funding sources","EuroRussia","S1",3.09999300255372,-0.806184319267502,0.0369113737456444
"1044","2","2","2","1","2","2","2","2","3","3","3","4","4","4","2","5","1","1","3","4","5","5","5","3","4","1","3","1","2","1","1","1","2","1","1","1","1","1","Academic","Physical science","State/regional government","EuroRussia","S1",3.34762354243161,3.30365363511573,0.0795823190216493
"1045","2","2","1","2","2","1","2","2","1","1","1","1","1","1","5","4","5","2","3","1","1","1","5","1","1","3","1","2","2","2","2","2","2","2","2","2","2","2","Academic","Natural science","Federal/national government","USACanada","S1",-5.36107047671442,6.02858220667358,0.234151865863041
"1046","3","2","2","2","2","2","2","2","1","1","3","2","2","3","1","1","3","3","4","1","2","3","4","5","1","1","1","2","1","1","1","1","1","1","1","2","1","1","Other","Physical science","Federal/national government","EuroRussia","S1",0.152988763403716,2.08182709717438,0.0156763843247807
"1047","2","1","1","2","1","2","2","1","2","5","3","5","1","4","1","5","1","4","3","1","1","5","1","1","1","1","3","2","1","1","2","2","1","1","2","1","1","1","Academic","Other","Private foundation","EuroRussia","S1",-0.473292391754804,1.54000567732788,0.00933811368480014
"1048","2","2","2","2","2","2","2","2","3","3","5","5","5","5","3","3","1","1","1","4","3","3","5","2","3","1","1","2","1","1","1","2","2","1","1","1","1","2","Academic","Physical science","Federal/national government","AsiaSEAsia","S1",0.733903698353116,0.479818761892956,0.00276601078763933
"1049","3","2","2","2","2","2","2","1","3","4","5","3","3","3","3","3","2","3","4","3","2","3","1","3","4","3","3","1","1","1","1","1","1","1","1","1","1","1","Academic","Physical science","Federal/national government","EuroRussia","S1",4.76907905554272,0.480556427557179,0.0826559211053566
"1050","2","2","2","2","2","2","2","2","2","4","2","3","4","5","1","1","1","1","2","2","2","4","1","2","3","1","3",NA,"1",NA,"1","2","1","1","1","1",NA,NA,"Academic","Social science","Federal/national government","EuroRussia","S1",1.53814866496698,-0.664831061504845,0.0101018149082752
"1051","2","1","1","2","1","2","2","2","4","5","5","5","5","5","2","2","2","2","2","1","1","4","2","4","2","1","2","1","1","1","1","1","1","1","1","1","1","1","Academic","Natural science","Federal/national government","EuroRussia","S1",1.70915299997949,-2.65338166056486,0.0358383724764204
"1052","2","2","2","2","1","2","2","2","3","2","3","2","2","2","1","2","2","2","3","1","1","2","1","2","2","1","1","2","1","1","1","1","2","1","1","1","1","1","Government","Other","Federal/national government","EuroRussia","S1",0.462832904926729,0.244834227815568,0.000986321705971053
"1053","1","2","1","2","2","2","2","2","2","3","3","2","3","2","2","2","3","2","2","1","2","5","3","3","3","2","2","1","2","1","2","1","2","2","2","1","1","1","Academic","Natural science","Federal/national government","AsiaSEAsia","S1",1.14169893246282,-0.595046496738502,0.00596328999404108
"1054","2","2","2","2","2","2","2","2","4","4","3","2","4","4","3","4","1","2","1","2","4","5","3","4","3","2","3","2","1","1","1","2","1","1","1","1","1","1","Academic","Natural science","Federal/national government","EuroRussia","S1",2.35335857909178,-0.920113785639534,0.022970583134463
"1055","2","1","2","2","1","2","2","1","3","4","2","5","5","4","2","2","2","2","2","2","1","3","2","5","2","1","3","2","1","1","1","2","1","2","1","2","1","1","Academic","Physical science","State/regional government","EuroRussia","S1",0.677634878871078,-2.54502292374265,0.0249544099390974
"1056","3","1","2","2","2","2","2","2","2","3","2","3","5","4","1","1","3","2","2","1","2","1","1","2","1","1","2","1","1","1","1","1","1","1","1","1","1","1","Academic","Physical science","Federal/national government","AsiaSEAsia","S1",1.78732595386209,0.305559659838132,0.0118286781720258
"1057","2","2","2","2","2","2","2","1","2","2","3","2","2","2","3","3","3","3","3","2","2","4","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","Commercial","Physical science","Corporation","EuroRussia","S1",3.67309678379795,-0.65618182037934,0.0500870941650426
"1058","2","2","2","2","1","1","2","1","2","3","2","4","5","5","2","2","2","2","2","4","4","5","3","3","3","1","2","1","2","1","1","1","1","1","1","1","1","2","Academic","Natural science","Federal/national government","EuroRussia","S1",3.14414868305451,-0.614705348372804,0.036924482942724
"1059","2","2","2","2","2","2","2","1","2","4","4","4","4","5","1","3","2","4","2","1","2","4","2","4","2","3","2","2","1","1","1","2","2","2","1","2","1","1","Government","Physical science","Federal/national government","EuroRussia","S1",0.0515258499637039,-2.45032176747319,0.0216100487285025
"1060","1","2","2","2","2","1","2","2","1","2","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Academic","Physical science","Local government","AsiaSEAsia","S1",-0.537139202526375,4.64024817469165,0.0785019874976303
"1061","1","2","2","2","2","2","2","2","3","3","3","3","3","3","4","4","3","3","3","1","1","1","1","2","2","1","3","1","2","2","1","2","2","1","1","2","1","2","Academic","Natural science","Federal/national government","EuroRussia","S1",0.0341816719406925,1.09471040587528,0.0043155804922408
"1062","3","2","2","1","2","2","2","2","2","2","3","5","5","5","2","2","4","2","5","1","2","2","1","2","2","1","2","1","1","1","1","1","1","1","1","2","1","1","Academic","Physical science","Federal/national government","EuroRussia","S1",2.13512985897482,0.34032030487931,0.0168175113452029
"1063","2","2","2","2","1","2","2","2","2","2","2","2","2","4","2","1","2","2","2","2","2","3","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","Academic","Physical science","Federal/national government","EuroRussia","S1",2.24848855078682,-0.0669752811732084,0.0182047212463455
"1064","2","1","1","2","2","1","2","1","5","5","3","5","5","5","1","1","2",NA,"2","1","1","1","4","4","1","1","1","2","1","1","1","2","2","1","2","2","1","1","Academic","Social science","Federal/national government","EuroRussia","S1",-2.67864262279696,-1.05213287965383,0.0297960368574132
"1065","1","2","2","1","2","2","2","1","4","4","4","2","2","5","4","4","1","1","1","1","2","5","2","4","2","1","2","2","1","1","1","2","1","1","1","1","1","1","Academic","Social science","Federal/national government","USACanada","S1",1.3780036554869,-0.452378466070019,0.00756777760872883
"1066","2","1","2","2","1","2","2","2","5","2","4","3","4","5","1","4","2","2","3","2","1","2","2","3","2","1","4","2","1","1","1","2","2","1","1","2","1","2","Academic","Natural science","Federal/national government","LatinAmerica","S1",-0.351224105623896,-1.82936021707076,0.0124835073861364
"1067","2","2","2","2","2","2","2","2","2","2","4","2","2","4","2","2","1","1","3","1","3","4","2","3","1","1","2","1","1","1","1","1","1","1","1","1","1",NA,"Government","Physical science","Federal/national government","EuroRussia","S1",2.23814161524613,-0.187222114507675,0.0181476755039209
"1068","2","1","2","2","1","1","2","2","2","2","3","4","4","2","2","1","4","4","5","1","2","5","1","2","2","1","3","1","1","1","1","1","1","1","1","1","1","1","Academic","Natural science","Federal/national government","LatinAmerica","S1",2.54577550519434,1.10211698102159,0.0276861113749082
"1069","2","2","2","1","1","2","2","2","1","2","3","3","3","3","2","2","1","1","2","2","2","3","2","2","3","1","1","1","1","1","1","2","1","1","1","1","1","1","Academic","Natural science","Federal/national government","EuroRussia","S1",2.7940230495251,-0.0778241466415388,0.0281069869938675
"1070","2","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","4","1","2","1","1","2","1","1","1","1","3","2","1","1","1","2","2","2","2","2","1","2","Academic","Social science","Federal/national government","EuroRussia","S1",-2.86036682248261,1.90859263702348,0.0425400029766294
"1071","2","2","1","1","2","2","2","2","3","4","3","5","5","4","3","2","1","1","3","4","3","3","5","4","3",NA,"2","2","1","1","2","2","2","1","2","1","1","1","Academic","Social science","Federal/national government","EuroRussia","S1",1.00679716771502,-1.02920434168493,0.00745755230898015
"1072","2","1","2","2","2","2","2","1","5",NA,"4","5","5","5","2","4","1","1","3","2","2","4","2","3","2","1","4","2","1","1","1","1","1","1","1","1","1",NA,"Academic","Natural science","State/regional government","EuroRussia","S1",2.41759922088346,-1.47357724113007,0.028839446317034
"1073","2","2","1","2","1","1","2","2","3","4","3","4","4","5","2","2","2","3","3","3","3","4","2","3","2","1","1","1","1","1","1","2","2","1","1",NA,NA,NA,"Academic","Natural science","Federal/national government","EuroRussia","S1",1.79587078450369,-2.65202855923966,0.0369060405385893
"1074","1","2","2","2","1","2","2","2","2","4","3","2","2","1","1","2","1","1","1","2","4","5","1","4","1","1","4","2","1","1","2","2","2","2","2","2","2","2","Academic","Social science","Federal/national government","EuroRussia","S1",-2.7639074994191,0.453441126466639,0.0282227306543684
"1075","2","2","2","2","2","2","2","2","4","4","3","3","4","3","1","1","3","3","3","1","1","1","3","4","1","1","1","2","1","1","1","2","1","2","1","1","2","2","Academic","Social science","Federal/national government","EuroRussia","S1",-2.09228052074124,0.215712861708553,0.0159165633569163
"1076","2","1","1","2","2","2","2","2","1","5","4","5","5","5","2","2","2","2","2","2","2","2","2","3","3","2","3","1","1","1","1","1","1","1","1","1","1","1","Academic","Natural science","Federal/national government","USACanada","S1",2.88454243194326,-2.14495080914887,0.0464865216827045
"1077","2","2","2","2","2","1","1","2","3","4","5","4","4","4","2","4","1","2","1","2","1","5","1","4","1","1","1","1","1","1","1","1","2","1","2",NA,"2","2","Academic","Other","Federal/national government","EuroRussia","S1",-0.525379872796988,-1.28459387758109,0.0069297907211722
"1078","1","2","2","2","1","2","2","2","2","3","2","2","2","3","3","3","2","4","3","1","1","3","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Academic","Physical science","State/regional government","AsiaSEAsia","S1",1.97940960278061,0.76509818381917,0.0162017402055987
"1079","2","1","2","2","2","2","2","2","2","4","4","5","5","5","5","4","1","4","2","1","1","1","2","2","2","1","2","1","1","1","1","1","1","1","1","2","1","2","Government","Natural science","Federal/national government","USACanada","S1",0.762426424262739,0.0118257995042519,0.00209178895086022
"1080","3","1","2","2","1","2","2","2","1","2","1","5","5","5","5","5","1","5","1","4","5","5","2","2","3","1","3","1","1","1","1","2","1","1","1","1","1","1","Academic","Natural science","State/regional government","EuroRussia","S1",3.52346948257728,5.09329432988846,0.137992762095871
"1081","2","1","1","2","1","2","2","2","2","3","1","2","4","2","2","2","4","4","4","1","1","2","2","1","2","2","2","2","1","1","1","2","2","2","2","2","1","2","Academic","Natural science","Federal/national government","LatinAmerica","S1",-1.88650859480127,-0.712939710241058,0.0146323067841664
"1082","2","1","1","1","2","1","2","2","2","4","4","4","4","4","3","4","2","1","2","2","3","4","2","3","3","1","2","1","1","1","2","1","1","1","2","2","1","2","Academic","Physical science","Private foundation","USACanada","S1",1.58096148357421,-3.00445944605437,0.0414671568405425
"1084","2","2","2","2","1","2","2","1","4",NA,"4","3","4","4","1","2","5","4","2","2","2","4","1","5","1","1","1","2","1","1","1","2","2","1","2","2","1",NA,"Academic","Physical science","Federal/national government","LatinAmerica","S1",-0.907832261525402,-0.237195549136281,0.00316743694185795
"1086","1","2","2","2","2","2","2","1","2","2","3","2","2","4","3","2","2","4","1","1","4","5","3","4","3","4","2","1","1","1","1","1","1","2","1","2","2","1","Academic","Natural science","Federal/national government","EuroRussia","S1",1.3208471272916,0.150653935051426,0.00635822779036067
"1087","2","2","2","2","1","2","2","2","3","3","3","3","2","2","3","3","2","4","3","1","2","3","3","2","2","1","3","1","2","1","2",NA,"2","2","2","1","1","1","Academic","Physical science","State/regional government","EuroRussia","S1",1.21396547542167,-0.571206762890498,0.0064757108307159
"1089","1","2","2","2","2","2","2","1","2","2","3","2","2","2","1","2","2","1","3","1","1","1","2","2","2","1","1","2","1","1","2","1","1","1","1","1","1","1","Academic","Physical science","Federal/national government","EuroRussia","S1",0.0240502485351007,1.13732883555051,0.00465568696561474
"1090","2","2","2","2","1","2","2","2","2","2","3","1","1","4","2","3","2","2","2","2","2","4","1","4","2","2","2","1","1","1","1","1","2","1","1","1","1","1","Academic","Natural science","State/regional government","EuroRussia","S1",2.71580515844006,-1.22136314273374,0.0319014313068424
"1091","1","2","2","2","2","2","2","2","2","2","3","1","1","4","2","2","2","2","1","2","2","4","1","4","2","1","2","2","1","1","1","2","1","1","1","2","1","2","Academic","Natural science","Federal/national government","USACanada","S1",0.397396141520964,-0.812093273850963,0.00294077865181149
"1093","3","2","2","2","1","2","2","2","3","3","3","5","5","5","2","3","2","2","2","2","3","4","3","3","3","1","3","1","1","1","1","2","2","1","1","1","1","1","Other","Other","Other","USACanada","S1",3.07651774440793,-1.71747608735335,0.0446635498184011
"1094","3","2","2","2","2","2","2","2","2","4","3","5","5","3","1","1","1","2","1","1","1","2","2","4","1","1","1","2","1","1","2","2","2","2","2","2","2","2","Academic","Physical science","Federal/national government","EuroRussia","S1",-3.66055776227049,-0.689677094038794,0.0499184478856622
"1095","2","2","1","2","2","1","2","2","1","4","4","5","5",NA,"2","2","2","4","2","1","1","2","1","2","2","1","2","1","1","1","1","2","1","1","1","1","1","2","Academic","Natural science","Federal/national government","USACanada","S1",0.622270569551768,-1.22904173841786,0.0068274696225859
"1096","2","2","2","1","2","2","2","1","1","3","3","5","5","5","4","5","5","3","3","3","4","5","2","2","2","1","4","2","1","1","2","2","2","1","1","2","1","1","Academic","Social science","Federal/national government","AsiaSEAsia","S1",1.6952515889134,1.98479813798735,0.0245117956734103
"1097","2","2","2","2","2","2","2","2","1","2","2","4","4","4","5","5","3","5","2","2","2","5","2","2","2","1","2","1","1","1","1","1","1","1","1","2","1","1","Non-Profit","Natural science","Private foundation","USACanada","S1",2.9894709592825,2.26177887609613,0.0505561029477273
"1098","2","2","2","2","2","1","2","1","3","4","4","1","1","4","2","2","1","1","1","2","2","5","2","3","3","3","2","2","1","1","1","1","2","1","1","1","1","1","Academic","Social science","Academic institution","USACanada","S1",2.12924986111229,-0.120550509474948,0.0163629136515178
"1099","2","1","2","2","2","1","2","2","3","3","2","1","2","3","1","2","2","2","3","2","2","4","2","3","3","1","1","2","1","1","1","1","1","1","1","2","1","1","Academic","Natural science","State/regional government","LatinAmerica","S1",2.06951583471868,-0.494777275973019,0.0162890287589033
"1100","1","1","1","2","2","1","2","1","2","4","3","2","4","4","2","2","2","2","2","2","2","5","2","4","2","2","3","2","1","1","2","2","1","1","1","2","1","2","Academic","Other","Federal/national government","USACanada","S1",0.483049031907521,-3.20102993441606,0.037702995356517
"1101","2","2","1","1","2","2","1","2","2","2","3","5","5","4","2","4","2","4","4","2","1","2","4","3","1","1","1","2","1","1","1","2","2","1","2","2","1","2","Academic","Physical science","Federal/national government","USACanada","S1",-1.2293324055682,-1.31546568708702,0.0116624937774781
"1102","1","2","2","2","2","2","2","2","1","1","1","4","4","1","4","5","2","2","2","5","3","3","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","Academic","Natural science","Federal/national government","AsiaSEAsia","S1",2.8941821569213,3.42472586651377,0.0723306559963263
"1103","2","1","2","2","1","2","2","1","2","4","4","2","4","5","4","4","1","3","2","2","2","5","2","2","2","1","2","1","1","1","2","1","1","1","1","1","1","2","Academic","Social science","Federal/national government","USACanada","S1",2.18652489984269,-1.5024043069338,0.0253205744403601
"1104","2","1","1","1","1","1","1","2","1","5","5","5","5","5","3","4","2","1","1","2","3","5","1","3","3","1","1","1","2","1","2","2","2","1","2","2","1","1","Non-Profit","Natural science","Federal/national government","USACanada","S1",0.443077997139373,-1.0731958703614,0.00484985940165823
"1105","2","1","1","2","1","2","2","1","2","4","3","5","5","4","2","2","1","1","1","2","4","5","2","4","2","1","2","1","1","1","2","1","2","1","1","1","1","1","Academic","Social science","Private foundation","USACanada","S1",2.20250879621979,-1.53928269581021,0.0259765188173979
"1106","3","2","2","2","1","2","2","1",NA,"4",NA,"2","2","1","2","3","1","1","1","2","2","4","2","3","2","2","2","2","1","1","2","2","1","1","1","1","2","2","Academic","Social science","Federal/national government","USACanada","S1",0.255833424332226,-0.979582559459457,0.00368769714918821
"1107","2","1","2","2","1","2","2","2","2",NA,"4","4","4","4","1","1","2","1","3","1","2","3","3","4","1","1","1","2","1","1","2","2","2","1","2","1","1","2","Academic","Social science","Federal/national government","USACanada","S1",-1.99018598397065,-1.47060131837484,0.0220301694717448
"1108","1","2","2","2","2","2","2","1","3","4","5","4","3","4","4","5","4","2","1","4","5","5","4","3","4","2","4","1","1","1","1","1","1","1","1","1","1","1","Academic","Social science","Federal/national government","EuroRussia","S1",3.92565957170628,2.40929872839899,0.0763257824502677
"1109","1","1","2","2","1","2","2","2","2","1","3","1","1","2","2","3","1","1","1","1","1","4","1","2","2","1","2","2","1","1","1","1","1","1","1","2","1","2","Government","Natural science","Federal/national government","USACanada","S1",-0.138623573181157,0.985171753042365,0.00356087012766018
"1110","1","2","2","2","1","2","2","2","2","1","2","1","1","1","1","3","2","2","1","2","2","2","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","Academic","Natural science","Federal/national government","LatinAmerica","S1",0.611114763977638,2.57440478012277,0.025187143022832
"1111","1","2","1","2","2","2","2","2","1","1","3","2","3","1","2","1","2","1","1","1","2","1","1","1","1","2","2","1","1","1","1","2","2","2","1","2","2","1","Academic","Natural science","Federal/national government","AsiaSEAsia","S1",-1.65845832770516,1.82210133385238,0.0218395982726442
"1112","1","2","2","2","2","2","2","2","4","4","2","4","4","5","1","2","3","2","2","1","1","1","4","3","3","1","3","1","2","1","1","1","1","1","1","1","1",NA,"Academic","Physical science","Federal/national government","EuroRussia","S1",0.643711283508566,-0.075736400323225,0.00151136869229782
"1113","2","2","2","2","2","2","2","2","1","2",NA,"5","5","5","2","2","2","2","2","1","1","3","5","2","1","1","1","2","1","1","1","2","2","2","1","2","2","1","Academic","Physical science","Federal/national government","USACanada","S1",-2.09872394920323,-0.17438071980241,0.0159557093837914
"1114","1","1","2","2","2","2","2","2","2","2",NA,"2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Academic","Physical science","Federal/national government","LatinAmerica","S1",0.497887329770283,1.38221917664817,0.00776522066240347
"1115","1","2","2","2","1","2","2","2","3","3","5","4","4","2","2","2","2","2","2","1","1","3","2","5","1","1","1","1","1","1","1","2","2","1","1","2","2","2","Non-Profit","Physical science","State/regional government","USACanada","S1",-1.6336452881637,-1.2493961250519,0.0152172464430346
"1116","2","2","2","2","2","2","2","2","2","2","2","4","2","3","2","4","3","3","2","2","2","4","3","2","2","2","2","1","2","1","1","1","1","1","1","2","2","2","Non-Profit","Natural science","Federal/national government","EuroRussia","S1",1.23286210564823,-1.21039657178651,0.010738982493452
"1117","3","1","2","1","1","2","2","2","3","3","3","2","2","4","3","2","2","2","2","2","2","4","3","3","4","2","2","1","1","1","1","1","2","1","1","1","1","1","Academic","Social science","State/regional government","USACanada","S1",3.58488238891898,-1.58109701880175,0.0552282452592163
"1119","2","2","1","2","1","2","1","2","4","4","3","5","5","5","2","5","1","1","1","2","2","4","2","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1","Academic","Social science","Federal/national government","LatinAmerica","S1",2.72112775895646,-0.257356124450786,0.0268771237057078
"1121","1","1","2","1","2","2","1","2","1","2","2","4","5","2","2","3","1","1","1","3","4","4","4","2","2","1","2","1","1","1","1","1","2","1","1","1","1","1","Academic","Natural science","Other","AfricaMENA","S1",2.21106266754242,-0.011898370460914,0.0175886373203111
"1122","2","2","2","2","1","1","2","2","4","4","4","3","4","4","1","1","1","1","1","1","1","2",NA,"4","1","1","1","2","1","1","1","2","1","1","2","2","2","2","Government","Natural science","Federal/national government","USACanada","S1",-2.997090100751,-0.881904691432381,0.035114048212941
"1123","1","1","2","2","2","2","2","2","2","2","1","1","2","2","3","3","1","1","2","1","1","1","3","1","1","1","3","1","1","1",NA,"1","1","1","2","2","1","2","Academic","Natural science","Private foundation","AfricaMENA","S1",-1.14673637922365,2.04392556013863,0.0197605184300015
"1124","2","1","2","2","1","1","2","2","4","5","4","5","5","5","2","2","2","2","2","2","2","2","2","4","1","1","2","1","1","1","1","2","1","1","1","1","1","1","Academic","Natural science","Federal/national government","EuroRussia","S1",1.3206213944641,-3.17213247588016,0.0424753933434553
"1125","2","1","2","2","1","2","2","2","2","5","3","2","4","5","1","1","1","1","1","1","1","4","1","3","1","1","1","1","1","1","1","2","1","2","2","2","2","1","Academic","Information science","Federal/national government","USACanada","S1",-1.90212916072097,0.0215549224529387,0.0130182703732495
"1127","2","2","2","2","1","2","2","1","4","4","4","5",NA,"5","2","2","1","1","1","1","1","4","2","4","1","1","2","1","1","1","1","2","1","1","1","1","1","1","Academic","Physical science","Federal/national government","USACanada","S1",0.766449997290481,-0.985451358239489,0.00560713527349869
"1129","1","2","2","2","2","2","2","2","5","5","5","5","5","5","4","5","1","5","1","2","5","5","5","2","4","1","2","1","1","1","1","1","1","2","1","1","1","1","Academic","Other","Private foundation","USACanada","S1",2.11063131269091,3.90109821349563,0.070777534587752
"1130","3","2","2","1","2","2","2","2","2","3","3","5","5","4","3","3","2","2","4","2","2","4","2","3","2","1","3","1","1","1","1","1","1","1","1","1","1","1","Academic","Physical science","Private foundation","USACanada","S1",4.26272759165355,-1.32797989650954,0.071716681251501
"1131","1","1","2","2","2","2","2","1","2","4","3","3","4","3","2","4","1","1","2","3","4","5","3","3","1","1","3","1","1","1","1","2","1","2","1","1","1","1","Academic","Social science","Private foundation","USACanada","S1",2.38094927236306,0.0961580034992775,0.0204279874980325
"1132","2","1","2","1","1","2","2","2","1","2","3","2","2","4","3","3","1","1","1","1","1","2","5","2","1","2","1","2","1","1","2","2","2","2","2","2","2","2","Academic","Social science","Private foundation","USACanada","S1",-3.99915740082783,0.00701401929254917,0.0575381435074792
"1133","2","2","2","2","2","2","2","1","1","1","2","3","2","4","1","1","1","1","2","2","2","3","2","3","1","1","3","2","1","1","1","1","2","2","1","2","1","1","Academic","Natural science","State/regional government","AsiaSEAsia","S1",0.556092676851344,0.805700520641166,0.00344794930959239
"1134","2","1","2","2","2","2","2","2","3","5","3","1","5","4","5","5","1","2","2","5","5","5","5","1","5","1","2","1","1","1","1","1","1","1","1","1","1","1","Academic","Physical science","Federal/national government","USACanada","S1",3.40520409314678,6.33792080127903,0.186230512204034
