"","16_12_09","06_16_13_1","06_16_13_2","06_16_13_3","06_16_13_4","06_16_13_5","06_16_13_6","06_16_13_7","07_17_14_1","07_17_14_2","07_17_14_3","08_20_16_1","08_20_16_2","08_22_18","09_31_20_1","09_31_20_2","09_31_20_3","09_31_20_4","09_31_20_5","10_32_19_1","10_32_19_2","10_32_19_3","10_32_19_4","10_32_19_5","10_32_19_6","10_32_19_7","10_32_19_8","11_19_15_1","11_19_15_2","11_19_15_3","11_19_15_4","11_19_15_5","11_19_15_6","11_19_15_7","11_19_15_8","11_19_15_9","11_19_15_10","11_19_15_11","work_sector","domain","funding_agency","region","survey_label","dim_1","dim_2","contrib"
"120","2","1","2","2","1","2","1","1","2","2","4","2","3","5","2","3","1","2","2","2","2","5","2","1","2","2","2","2","1","1","1","2","2","1","1","2","1","2","Academic","Natural science","Federal/national government","EuroRussia","S1",0.8226192849422,-2.04923487050398,0.0175423225874617
"121","2","2","2","2","1","2","2","2","2","3","3","3","2","3","2","2","2","2","2","1","1","4","3","3","2","1","3","1","1","1","1","1","2","1","2","2","1","2","Academic","Physical science","Federal/national government","EuroRussia","S1",0.690197307778416,-1.18901901953031,0.00680003509668779
"123","2","1","2","2","2","1","2","2","3","5","5","3","4","5","2","2","1","1","1","1","1","1","3","3","2","1","1","2","2","2","1","2","1","1","2","2","2","2","Academic","Natural science","Federal/national government","USACanada","S1",-2.9213463024308,-0.646930113014727,0.0322088754311029
"124","2","2","2","2","1","2","2","2","1","1","1","3","3","3","1","1","1","1","1","1","1",NA,NA,"1",NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","Academic","Physical science","Federal/national government","EuroRussia","S1",0.813943404904781,3.96449769110627,0.0589284030166451
"125","2","1","2","2","1","2","2","2","1","2",NA,"4","3","3","2","3","4","3","3","1","1","3","1","2","3","1","1","2","1","1","1","1","1","1","1","1","1","1","Academic","Physical science","Federal/national government","EuroRussia","S1",1.89338486545491,0.631581831567875,0.014332278669212
"126","2","2","2","2","2","2","2","2","1","1","2","1","1","2","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","1","2","2","2","Academic","Natural science","Federal/national government","EuroRussia","S1",-2.93104089784084,3.63884295489829,0.0785442854709043
"127","2","2","2","2","2","2","2","2","2","2","1","5","5","5","1","1","5","5","1","1","3","3","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Academic","Natural science","Self supported","EuroRussia","S1",1.5751079319107,4.1829902955662,0.0718749618143154
"128","2","2","2","2","2","2","2","2","3","4","3","4","4","4","1","2","3","3","2","1","1","2","1","2","1","1","1","1","1","2","1","2","2","1","1","1","1","2","Academic","Natural science","Federal/national government","EuroRussia","S1",-0.788936427829854,-0.189342350806561,0.00236822181392957
"129","1","2","2","2","2","2","1","2","3","3","3","2","2","1","2","2","2","2","2","2","2","3","2","3","1","2","3","2","1","1","2","2","2","2","2","1","2","1","Academic","Natural science","Federal/national government","EuroRussia","S1",-0.503514786224799,-1.28171768401191,0.00682230019374097
"130","2","1","2","2","1","2","2","2","2","4","3","4","4","5","1","1","2","3","2","2","1","2","2","2","2","1","2","1","1","1","2","2","1","2","2","2","1","1","Academic","Natural science","Federal/national government","EuroRussia","S1",-0.625807850798351,-2.14490505122628,0.0179603217724424
"131","2","2","1","2","1","2","2","2","3","5","4","5","5","4","2","3","1","1","1","2","1","4","2","1","1","1","1","1","1","2","1","1","1","1","1","2","2","1","Academic","Natural science","Federal/national government","USACanada","S1",-0.00254598126745776,-0.623479133729956,0.00139851974494388
